epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,520.017,1.63271,2.6229,1.46327,0.52447,0.53802,0.49328,0.25939,1.6415,1.69369,1.50257,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987
2,982.807,1.6023,1.7246,1.38971,0.51309,0.53835,0.49107,0.25727,1.69824,1.74213,1.53134,0.0199847,0.00666157,0.0199847,0.00666157,0.0199847,0.00666157,0.0199847,0.00666157
3,1411.13,1.66198,1.68897,1.42374,0.40482,0.3574,0.33139,0.14527,1.9987,2.53945,1.76834,0.0299603,0.00998677,0.0299603,0.00998677,0.0299603,0.00998677,0.0299603,0.00998677
4,1837.05,1.6731,1.68683,1.45312,0.58952,0.51292,0.50328,0.25911,1.7187,1.66348,1.55648,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2265.26,1.61713,1.53887,1.41111,0.637,0.57268,0.59095,0.31227,1.62599,1.43555,1.49952,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2691.07,1.57155,1.44609,1.38013,0.57131,0.62378,0.62004,0.33646,1.57295,1.31315,1.45608,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,3114.66,1.54707,1.39252,1.3579,0.66289,0.64891,0.64581,0.36344,1.53644,1.22175,1.40316,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3535.4,1.52638,1.3484,1.34677,0.71159,0.66375,0.6701,0.38042,1.51564,1.1531,1.3938,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3954.88,1.50282,1.3072,1.32806,0.60946,0.70194,0.67156,0.38386,1.51056,1.138,1.3839,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4375.02,1.48796,1.27821,1.31732,0.68608,0.68,0.683,0.39533,1.48074,1.1246,1.3687,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4794.67,1.48125,1.25706,1.31121,0.70247,0.70092,0.70016,0.40936,1.46531,1.06423,1.34413,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,5215.97,1.47643,1.24346,1.30586,0.72204,0.69922,0.70576,0.41745,1.4404,1.03203,1.32943,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5638.76,1.46035,1.22221,1.29448,0.73488,0.70578,0.71448,0.42777,1.42983,1.0187,1.31766,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,6061.51,1.45214,1.20284,1.28906,0.73812,0.72141,0.7188,0.43607,1.41002,0.98998,1.30907,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,6485.34,1.44028,1.18684,1.27998,0.73482,0.71174,0.72125,0.43783,1.40208,0.97391,1.30105,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,6908.98,1.43733,1.18049,1.27867,0.73862,0.72732,0.73235,0.44896,1.38725,0.95391,1.29386,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,7334.72,1.43316,1.16988,1.27998,0.74036,0.73261,0.73351,0.45055,1.38177,0.93573,1.28233,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,7759.12,1.42337,1.15434,1.27128,0.73165,0.74259,0.74,0.45361,1.37801,0.93187,1.28288,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,8182.46,1.42788,1.15349,1.27392,0.73128,0.75282,0.74126,0.45664,1.36648,0.91563,1.27272,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,8609.98,1.41151,1.14325,1.26393,0.7434,0.75078,0.7461,0.46274,1.36534,0.9099,1.27284,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,9033.78,1.41434,1.13039,1.25925,0.73591,0.75034,0.74892,0.46393,1.35755,0.90497,1.26629,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,9457.29,1.41213,1.12559,1.25653,0.74313,0.75352,0.75023,0.4664,1.35219,0.88967,1.26005,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,9884.87,1.40264,1.12078,1.25481,0.68194,0.76693,0.75181,0.46971,1.34583,0.88413,1.25659,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,10309.1,1.40357,1.10943,1.25373,0.67007,0.78654,0.75211,0.47174,1.34199,0.88063,1.25665,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,10733.6,1.39532,1.09961,1.24718,0.67842,0.77624,0.75584,0.47487,1.34006,0.87172,1.25267,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
