epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.5,1.62263,2.93083,1.4376,0.51438,0.50011,0.47697,0.24477,1.63855,1.86284,1.51122,0.0033316,0.0033316,0.0033316
2,1230.1,1.58719,2.05621,1.39216,0.56669,0.5117,0.47626,0.24231,1.68498,1.84968,1.55329,0.00653297,0.00653297,0.00653297
3,1826.7,1.63875,1.88767,1.42844,0.56806,0.49995,0.48323,0.24418,1.73982,1.76737,1.59259,0.00960234,0.00960234,0.00960234
4,2420.34,1.65746,1.7693,1.44242,0.64448,0.55208,0.55692,0.28792,1.67076,1.56284,1.51812,0.009406,0.009406,0.009406
5,3008.16,1.60378,1.60952,1.40772,0.61409,0.60439,0.59333,0.313,1.60181,1.42383,1.47206,0.009208,0.009208,0.009208
6,3588.08,1.57641,1.52455,1.3909,0.66475,0.62323,0.62259,0.34448,1.55009,1.31935,1.43888,0.00901,0.00901,0.00901
7,4164.38,1.54757,1.45073,1.3702,0.67838,0.63864,0.63772,0.36074,1.51925,1.24206,1.40924,0.008812,0.008812,0.008812
8,4744.03,1.53081,1.40983,1.356,0.68335,0.67179,0.65396,0.37545,1.50426,1.21827,1.38978,0.008614,0.008614,0.008614
9,5322.46,1.50983,1.37111,1.34351,0.70472,0.66061,0.67092,0.39204,1.47176,1.16552,1.36697,0.008416,0.008416,0.008416
10,5899.42,1.49901,1.33606,1.33199,0.6954,0.69118,0.68018,0.39895,1.46192,1.12739,1.35761,0.008218,0.008218,0.008218
11,6476.96,1.48794,1.30939,1.3209,0.7149,0.69629,0.69011,0.4051,1.45231,1.0948,1.34638,0.00802,0.00802,0.00802
12,7053.41,1.47773,1.29034,1.31843,0.64876,0.7051,0.70306,0.41664,1.42773,1.06811,1.32441,0.007822,0.007822,0.007822
13,7626.98,1.46533,1.26294,1.30859,0.67707,0.70391,0.7026,0.41986,1.42504,1.04958,1.32178,0.007624,0.007624,0.007624
14,8199.66,1.45915,1.25063,1.30641,0.71963,0.71422,0.70968,0.43046,1.41254,1.03114,1.32249,0.007426,0.007426,0.007426
15,8774.05,1.44973,1.24525,1.30045,0.73942,0.69557,0.71276,0.43408,1.39731,1.01702,1.30666,0.007228,0.007228,0.007228
16,9346.36,1.43692,1.22134,1.29319,0.72508,0.7205,0.71672,0.43895,1.39306,1.00501,1.29953,0.00703,0.00703,0.00703
17,9912.57,1.43089,1.19833,1.28738,0.73686,0.72691,0.72675,0.44515,1.38753,0.98805,1.29772,0.006832,0.006832,0.006832
18,10482.2,1.4284,1.19279,1.28592,0.66931,0.7403,0.72472,0.44631,1.37881,0.97505,1.29053,0.006634,0.006634,0.006634
19,11055.8,1.41135,1.1715,1.27427,0.68403,0.73556,0.72949,0.45141,1.37113,0.95988,1.28429,0.006436,0.006436,0.006436
20,11624.8,1.4104,1.16235,1.27083,0.67351,0.74606,0.73318,0.455,1.36753,0.94717,1.27985,0.006238,0.006238,0.006238
21,12203.2,1.403,1.15134,1.27141,0.68444,0.7434,0.73229,0.45671,1.36223,0.94132,1.27832,0.00604,0.00604,0.00604
22,12778,1.39804,1.1426,1.2667,0.68074,0.74851,0.73735,0.46093,1.35751,0.93475,1.27543,0.005842,0.005842,0.005842
23,13351,1.39387,1.13355,1.2599,0.68802,0.74674,0.73989,0.46141,1.35203,0.92792,1.2682,0.005644,0.005644,0.005644
24,13924.1,1.38704,1.11762,1.25466,0.68878,0.75743,0.7414,0.46483,1.3478,0.91919,1.26493,0.005446,0.005446,0.005446
25,14503.9,1.37634,1.10657,1.24697,0.68191,0.75973,0.74125,0.46472,1.3454,0.91521,1.26253,0.005248,0.005248,0.005248
26,15074,1.37708,1.10629,1.25235,0.68118,0.76259,0.74396,0.46722,1.34304,0.90783,1.26095,0.00505,0.00505,0.00505
