epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.191,1.76684,1.26469,1.08219,0.68317,0.47805,0.48507,0.21958,1.73127,1.12833,1.15202,0.000332994,0.000332994,0.0670336
2,605.876,1.58393,0.92979,1.01094,0.68444,0.50896,0.52926,0.26475,1.59337,0.996,1.09787,0.000659731,0.000659731,0.034027
3,904.582,1.49874,0.84928,0.985,0.79686,0.55586,0.56855,0.2831,1.54194,0.94522,1.08913,0.000979867,0.000979867,0.00101381
4,1202.56,1.43454,0.79666,0.96861,0.70161,0.57531,0.57931,0.29629,1.49605,0.86134,1.06292,0.0009703,0.0009703,0.0009703
5,1499.48,1.38674,0.76532,0.96238,0.70111,0.59546,0.59363,0.31213,1.47069,0.83515,1.05836,0.0009604,0.0009604,0.0009604
6,1796.88,1.33125,0.71972,0.94378,0.84175,0.57463,0.59231,0.31426,1.46751,0.84301,1.05458,0.0009505,0.0009505,0.0009505
7,2094.4,1.30825,0.70579,0.94182,0.82214,0.57524,0.59048,0.30663,1.44246,0.8199,1.04317,0.0009406,0.0009406,0.0009406
8,2392.82,1.28685,0.69,0.93415,0.71631,0.6122,0.59783,0.32144,1.40905,0.78838,1.03947,0.0009307,0.0009307,0.0009307
9,2690.84,1.25754,0.66931,0.92713,0.66344,0.63969,0.60815,0.3253,1.40619,0.77439,1.03237,0.0009208,0.0009208,0.0009208
10,2988.38,1.24185,0.6608,0.92308,0.64272,0.66224,0.60575,0.32835,1.37153,0.79247,1.01726,0.0009109,0.0009109,0.0009109
11,3285.47,1.221,0.64617,0.91985,0.74355,0.64756,0.62555,0.33772,1.38426,0.76094,1.02182,0.000901,0.000901,0.000901
12,3582.37,1.19634,0.63084,0.91589,0.64347,0.6633,0.62136,0.33404,1.37008,0.7444,1.01236,0.0008911,0.0008911,0.0008911
13,3879.4,1.18766,0.62239,0.91186,0.66735,0.64179,0.62043,0.33283,1.37162,0.77548,1.01402,0.0008812,0.0008812,0.0008812
14,4176.58,1.17528,0.61612,0.90904,0.64415,0.67669,0.62721,0.33523,1.36458,0.75673,1.00987,0.0008713,0.0008713,0.0008713
